,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Team,Score
712,0.3061224489795933,0.6115107913669062,0.5387931034482758,0.6601941747572813,0.4897959183673469,0.4236842105263157,0.7743902439024393,0.5303030303030303,0.502747252747253,0.5129870129870131,0.42519685039370103,0.31952662721893477,0.7653631284916202,0.2500000000000001,0.5202312138728322,0.5155279503105588,0.5285714285714287,0.3846153846153846,0.6034482758620692,0.2911392405063291,0.16190476190476177,0.6125654450261777,2017,SAS,3.0
289,0.24489795918367463,0.6834532374100717,0.6896551724137931,0.592233009708738,0.8435374149659864,0.8657894736842104,0.5670731707317074,0.21212121212121193,0.13736263736263732,0.8506493506493511,0.6377952755905513,0.5857988165680472,0.592178770949721,0.3437500000000001,0.49710982658959524,0.5465838509316767,0.6285714285714286,0.41538461538461524,0.32758620689655177,0.5063291139240507,0.31428571428571384,0.8743455497382198,2017,HOU,2.0
739,0.24489795918367463,0.6043165467625897,0.5689655172413794,0.6116504854368934,0.4625850340136055,0.44473684210526315,0.603658536585366,0.5454545454545454,0.49725274725274726,0.5454545454545454,0.5905511811023622,0.47928994082840237,0.7597765363128492,0.3125000000000001,0.4450867052023122,0.4782608695652173,0.15000000000000013,0.4307692307692308,0.43103448275862083,0.20253164556962022,0.3999999999999999,0.6544502617801049,2017,TOR,2.0
766,0.18367346938775597,0.4460431654676258,0.35775862068965525,0.6310679611650487,0.5170068027210885,0.4894736842105262,0.6585365853658536,0.31818181818181834,0.31868131868131866,0.5844155844155847,0.3858267716535434,0.3727810650887573,0.48603351955307295,0.1875000000000001,0.5144508670520229,0.4720496894409938,0.26428571428571446,0.18461538461538463,0.4482758620689656,0.31645569620253156,0.20952380952380945,0.49214659685863893,2017,UTA,2.0
791,0.4285714285714306,0.7553956834532372,0.6810344827586206,0.7184466019417473,0.4897959183673469,0.4578947368421053,0.6585365853658536,0.6818181818181821,0.5604395604395604,0.6103896103896105,0.40157480314960636,0.32544378698224863,0.6927374301675981,0.2812500000000001,0.4450867052023122,0.45341614906832284,0.5357142857142856,0.46153846153846145,0.29310344827586204,0.3924050632911391,0.44761904761904736,0.7146596858638743,2017,WAS,2.0
21,0.48979591836734926,0.5251798561151078,0.5689655172413794,0.4854368932038833,0.4693877551020409,0.49210526315789477,0.4695121951219512,0.46212121212121193,0.4505494505494505,0.5194805194805197,0.46456692913385844,0.49112426035502943,0.37988826815642485,0.2812500000000001,0.5317919075144508,0.5403726708074532,0.5142857142857145,0.41538461538461524,0.41379310344827597,0.5949367088607596,0.15238095238095206,0.5575916230366493,2017,ATL,1.0
127,0.24489795918367463,0.5611510791366907,0.6853448275862064,0.41747572815534006,0.38095238095238093,0.3921052631578947,0.46341463414634165,0.5984848484848486,0.6291208791208791,0.3766233766233764,0.45669291338582674,0.34911242603550297,0.7709497206703912,0.47916666666666663,0.5317919075144508,0.664596273291925,0.44285714285714306,0.3538461538461537,0.41379310344827597,0.31645569620253156,0.10476190476190439,0.5497382198952883,2017,CHI,1.0
316,0.4285714285714306,0.6115107913669062,0.5732758620689653,0.6213592233009715,0.44897959183673464,0.4105263157894737,0.6829268292682926,0.5681818181818183,0.5384615384615385,0.5,0.44881889763779526,0.32544378698224863,0.8379888268156432,0.14583333333333337,0.4682080924855492,0.3975155279503104,0.4357142857142857,0.41538461538461524,0.4482758620689656,0.3417721518987342,0.2761904761904759,0.6073298429319371,2017,IND,1.0
343,0.18367346938775597,0.6258992805755392,0.5172413793103448,0.7184466019417473,0.5646258503401361,0.5263157894736841,0.6768292682926831,0.4696969696969697,0.38186813186813184,0.6753246753246755,0.5590551181102362,0.5562130177514792,0.47486033519553095,0.14583333333333337,0.5260115606936415,0.45962732919254634,0.4357142857142857,0.3076923076923077,0.310344827586207,0.240506329113924,0.30476190476190457,0.7015706806282722,2017,LAC,1.0
391,0.5510204081632608,0.40287769784172633,0.5344827586206895,0.33009708737864063,0.5034013605442177,0.5026315789473683,0.5487804878048779,0.2954545454545454,0.41758241758241765,0.33766233766233755,0.4803149606299214,0.4023668639053253,0.6927374301675981,0.3333333333333336,0.4104046242774566,0.44720496894409933,0.3500000000000001,0.3846153846153846,0.310344827586207,0.2278481012658229,0.5523809523809518,0.4869109947643979,2017,MEM,1.0
451,0.24489795918367463,0.5755395683453233,0.4612068965517242,0.70873786407767,0.4625850340136055,0.4289473684210526,0.646341463414634,0.5227272727272729,0.447802197802198,0.616883116883117,0.39370078740157466,0.3431952662721893,0.603351955307263,0.1250000000000001,0.3872832369942196,0.2981366459627326,0.5571428571428572,0.3999999999999999,0.5,0.36708860759493667,0.3428571428571425,0.5680628272251309,2017,MIL,1.0
537,0.3061224489795933,0.6258992805755392,0.6982758620689657,0.4951456310679614,0.435374149659864,0.4842105263157895,0.38414634146341475,0.5984848484848486,0.5412087912087913,0.5389610389610393,0.5511811023622047,0.5443786982248522,0.47486033519553095,0.47916666666666663,0.5491329479768785,0.6832298136645965,0.32857142857142874,0.36923076923076925,0.4482758620689656,0.49367088607594933,0.4095238095238092,0.6465968586387434,2017,OKC,1.0
658,0.6122448979591866,0.6258992805755392,0.6422413793103448,0.5631067961165046,0.5714285714285715,0.5342105263157895,0.6768292682926831,0.46212121212121193,0.45329670329670324,0.5064935064935066,0.49606299212598437,0.4201183431952662,0.6703910614525141,0.26041666666666663,0.49710982658959524,0.5031055900621118,0.33571428571428585,0.23076923076923084,0.4482758620689656,0.3291139240506329,0.43809523809523787,0.6806282722513091,2017,POR,1.0
58,0.18367346938775597,0.5035971223021578,0.603448275862069,0.41747572815534006,0.5918367346938775,0.6368421052631579,0.45121951219512213,0.3030303030303032,0.3214285714285716,0.551948051948052,0.5669291338582677,0.47337278106508873,0.7150837988826821,0.1250000000000001,0.5895953757225434,0.5155279503105588,0.3571428571428572,0.2615384615384615,0.3965517241379311,0.6835443037974682,0.4190476190476189,0.6256544502617798,2017,BRK,0.0
83,0.36734693877551194,0.49640287769784175,0.6120689655172415,0.39805825242718473,0.54421768707483,0.5578947368421052,0.5304878048780488,0.3484848484848482,0.4065934065934067,0.43506493506493493,0.5669291338582677,0.42603550295857984,0.8659217877094973,0.1250000000000001,0.5722543352601153,0.49689440993788825,0.47857142857142865,0.23076923076923084,0.41379310344827597,0.05063291139240511,0.0,0.6020942408376966,2017,CHO,0.0
181,0.24489795918367463,0.3884892086330938,0.47844827586206895,0.3786407766990294,0.5918367346938775,0.5999999999999999,0.5548780487804879,0.18181818181818166,0.28296703296703307,0.4415584415584415,0.2047244094488191,0.11242603550295849,0.7877094972067042,0.03125000000000011,0.33526011560693636,0.1863354037267082,0.3142857142857145,0.3076923076923077,0.22413793103448282,0.10126582278481022,0.23809523809523792,0.418848167539267,2017,DAL,0.0
208,0.18367346938775597,0.7482014388489207,0.7112068965517242,0.6601941747572813,0.5850340136054422,0.5631578947368421,0.6341463414634145,0.5681818181818183,0.46703296703296715,0.6363636363636367,0.5118110236220471,0.4497041420118342,0.6368715083798882,0.4375000000000001,0.5606936416184971,0.670807453416149,0.6357142857142859,0.21538461538461529,0.25862068965517243,0.49367088607594933,0.23809523809523792,0.7801047120418847,2017,DEN,0.0
235,0.3061224489795933,0.6546762589928052,0.7586206896551722,0.46601941747572795,0.3877551020408163,0.4210526315789473,0.40243902439024404,0.6893939393939399,0.6483516483516485,0.46103896103896114,0.13385826771653553,0.15976331360946738,0.32960893854748585,0.36458333333333337,0.5606936416184971,0.627329192546584,0.33571428571428585,0.23076923076923084,0.24137931034482757,0.10126582278481022,0.12380952380952337,0.5078534031413611,2017,DET,0.0
370,0.06122448979591866,0.6115107913669062,0.6982758620689657,0.47572815533980606,0.4693877551020409,0.48157894736842105,0.4999999999999998,0.5530303030303028,0.5412087912087913,0.4675324675324677,0.3779527559055119,0.3550295857988166,0.525139664804469,0.39583333333333337,0.4161849710982659,0.49068322981366475,0.3214285714285714,0.41538461538461524,0.25862068965517243,0.5189873417721518,0.3904761904761902,0.5942408376963351,2017,LAL,0.0
