,Team,Actual_Score,Year,Predicted_Score
680,SAC,0.0,2018,0.0
681,TOR,10.0,2019,2.0
682,GSW,7.0,2019,0.0
683,MIL,4.0,2019,2.0
684,POR,4.0,2019,0.0
685,BOS,2.0,2019,2.0
686,DEN,2.0,2019,0.0
687,HOU,2.0,2019,0.0
688,PHI,2.0,2019,0.0
689,BRK,1.0,2019,0.0
690,DET,1.0,2019,0.0
691,IND,1.0,2019,10.0
692,LAC,1.0,2019,4.0
693,OKC,1.0,2019,1.0
694,ORL,1.0,2019,0.0
695,SAS,1.0,2019,0.0
696,UTA,1.0,2019,0.0
697,ATL,0.0,2019,0.0
698,CHO,0.0,2019,4.0
699,CHI,0.0,2019,0.0
700,CLE,0.0,2019,0.0
701,DAL,0.0,2019,0.0
702,LAL,0.0,2019,2.0
703,MEM,0.0,2019,4.0
704,MIA,0.0,2019,0.0
705,MIN,0.0,2019,1.0
706,NOP,0.0,2019,0.0
707,NYK,0.0,2019,0.0
708,PHO,0.0,2019,0.0
709,SAC,0.0,2019,0.0
710,WAS,0.0,2019,2.0
711,LAL,10.0,2020,0.0
712,MIA,7.0,2020,7.0
713,BOS,4.0,2020,0.0
714,DEN,4.0,2020,0.0
715,HOU,2.0,2020,2.0
716,LAC,2.0,2020,2.0
717,MIL,2.0,2020,4.0
718,TOR,2.0,2020,0.0
719,BRK,1.0,2020,1.0
720,DAL,1.0,2020,0.0
721,IND,1.0,2020,0.0
722,OKC,1.0,2020,4.0
723,ORL,1.0,2020,0.0
724,PHI,1.0,2020,10.0
725,POR,1.0,2020,10.0
726,UTA,1.0,2020,2.0
727,ATL,0.0,2020,1.0
728,CHO,0.0,2020,1.0
729,CHI,0.0,2020,1.0
730,CLE,0.0,2020,2.0
731,DET,0.0,2020,1.0
732,GSW,0.0,2020,0.0
733,MEM,0.0,2020,1.0
734,MIN,0.0,2020,0.0
735,NOP,0.0,2020,0.0
736,NYK,0.0,2020,0.0
737,PHO,0.0,2020,0.0
738,SAC,0.0,2020,0.0
739,SAS,0.0,2020,0.0
740,WAS,0.0,2020,0.0
741,MIL,10.0,2021,7.0
742,PHO,7.0,2021,7.0
743,ATL,4.0,2021,2.0
744,LAC,4.0,2021,7.0
