,Team,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,DRB%,FT/FGA_opp
5,Detroit Pistons*,3.42,0.55,3.97,104.2,100.3,3.9,86.3,0.345,0.183,0.528,0.48,15.6,30.5,0.256,0.468,15.4,72.0,0.259
6,Atlanta Hawks*,2.9,-0.08,2.82,100.5,97.1,3.4,85.3,0.378,0.171,0.492,0.436,14.5,33.1,0.277,0.437,13.4,72.1,0.202
7,Los Angeles Lakers*,3.02,-0.35,2.68,107.6,104.3,3.3,91.6,0.382,0.174,0.538,0.498,14.1,30.6,0.261,0.468,13.3,70.2,0.267
8,Orlando Magic*,2.6,0.51,3.11,100.3,97.4,2.9,88.8,0.318,0.171,0.498,0.456,15.4,32.6,0.222,0.473,16.7,70.8,0.181
9,Houston Rockets*,2.32,-0.93,1.39,105.4,102.9,2.5,88.8,0.313,0.241,0.545,0.506,15.8,27.8,0.228,0.461,12.4,69.9,0.188
10,Phoenix Suns*,2.26,-0.11,2.15,105.8,103.3,2.5,90.0,0.303,0.175,0.526,0.481,13.0,28.4,0.231,0.485,15.4,69.8,0.216
11,Philadelphia 76ers*,2.06,0.5,2.56,99.9,97.6,2.3,88.6,0.383,0.096,0.494,0.439,15.3,34.2,0.276,0.454,17.1,69.8,0.249
12,Milwaukee Bucks*,1.66,0.0,1.66,104.9,103.0,1.9,87.0,0.303,0.162,0.53,0.489,14.3,29.0,0.222,0.463,16.0,67.6,0.275
13,New York Knicks*,1.02,0.43,1.45,98.6,97.5,1.1,86.9,0.329,0.159,0.509,0.463,15.9,27.9,0.241,0.434,14.9,71.0,0.258
14,Minnesota Timberwolves*,0.38,-0.55,-0.17,101.9,101.5,0.4,91.0,0.264,0.095,0.481,0.439,11.7,32.5,0.196,0.467,15.8,70.2,0.276
15,Charlotte Hornets,-0.1,0.73,0.63,102.3,102.4,-0.1,89.7,0.372,0.198,0.537,0.485,15.5,24.4,0.278,0.461,14.3,69.5,0.24
16,Sacramento Kings*,-0.42,-0.47,-0.89,102.7,103.1,-0.4,96.0,0.3,0.219,0.514,0.479,14.7,30.6,0.205,0.471,13.7,67.7,0.176
17,Seattle SuperSonics,-1.08,-0.35,-1.43,105.0,106.2,-1.2,89.6,0.341,0.226,0.519,0.481,14.3,31.9,0.232,0.489,14.1,68.6,0.213
18,Toronto Raptors,-1.64,0.33,-1.32,102.0,103.9,-1.9,88.8,0.338,0.168,0.504,0.45,15.0,33.8,0.257,0.473,14.8,70.2,0.258
19,Boston Celtics,-1.86,0.11,-1.75,100.4,102.4,-2.0,91.5,0.259,0.182,0.501,0.469,14.8,30.6,0.179,0.465,15.6,69.4,0.287
20,Cleveland Cavaliers,-1.72,0.78,-0.94,99.6,101.6,-2.0,86.4,0.381,0.15,0.52,0.464,15.9,25.1,0.285,0.468,16.2,69.0,0.267
21,Washington Wizards,-2.24,0.49,-1.75,101.2,103.7,-2.5,89.8,0.302,0.146,0.507,0.468,14.1,28.2,0.213,0.474,15.1,69.5,0.273
22,Dallas Mavericks,-2.4,-0.1,-2.5,102.3,104.9,-2.6,89.0,0.3,0.148,0.502,0.459,13.2,29.8,0.218,0.476,13.3,69.1,0.212
23,Golden State Warriors,-2.5,-0.13,-2.63,98.4,101.1,-2.7,88.9,0.282,0.135,0.471,0.434,14.1,35.2,0.19,0.445,14.0,70.4,0.29
